"colorscale","angry_avg","happy_avg","fearful_avg","disgust_avg","sad_avg"
"Blues",0.145182553981088,0.537604193227831,0.307434041790855,0.171371345862836,0.595236289116709
"BrBG",0.292963173170419,0.450856570518627,0.352110244494927,0.427318646817784,0.453074119880507
"BuGn",0.186486357695605,0.520233213816426,0.294448315478223,0.365648573588331,0.441858773533194
"BuPu",0.176888867405385,0.518484941188984,0.320100971796766,0.208122209374518,0.530394969322374
"GnBu",0.147405432822511,0.517262086365793,0.294296387935256,0.317278325298325,0.487213343367291
"Greens",0.176068194626038,0.464644220761986,0.307902640710134,0.504709931044667,0.401716829185657
"Greys",0.125579846473852,0.376141279208948,0.3690913637926,0.232670058630772,0.729721458411072
"OrRd",0.444113627321949,0.521602216209484,0.364342643917934,0.418404094547185,0.302758413847974
"Oranges",0.449124495086846,0.522749972021321,0.365043309457457,0.431116178807,0.301079970752404
"PRGn",0.177950644927229,0.463807161076644,0.323236687808611,0.378405801408248,0.442874843177209
"PiYG",0.220948084142536,0.523938315037924,0.304256848224419,0.372107090092251,0.344773354795968
"PuBu",0.134323660666794,0.504525861471721,0.316842897092504,0.190577150134834,0.591481521861761
"PuBuGn",0.162152306100027,0.504911931423202,0.314571808163172,0.227785235611497,0.552018129738998
"PuOr",0.275822933458601,0.478083482083934,0.350302845874236,0.35623498797233,0.44126626690954
"PuRd",0.300547464666458,0.537027569815813,0.334757305239896,0.251110646727527,0.36763454123481
"Purples",0.117861099324367,0.498572856866405,0.313618616987687,0.217818534651805,0.528883966002205
"RdBu",0.3154846001671,0.509436418681947,0.349673217710966,0.279203811486609,0.468078566887185
"RdGy",0.289323151082793,0.440115349586299,0.371702586638779,0.301285946849076,0.525947098555831
"RdPu",0.36717495732475,0.547486753411263,0.34355068857246,0.272452166110222,0.323783992862424
"RdYlBu",0.283632742914345,0.549258092083204,0.319228112680456,0.31793079646258,0.403778490948109
"RdYlGn",0.308909407871338,0.540010083502666,0.316908027396492,0.457937170031843,0.305624233642657
"Reds",0.501237797297929,0.532759275828812,0.3778539657122,0.374983765809798,0.291369051426884
"Spectral",0.28436187005392,0.540406525368125,0.315425511401372,0.385595211184708,0.352813810611608
"YlGn",0.194259599493993,0.472116358968291,0.310408222814148,0.512924111974796,0.387264850650958
"YlGnBu",0.196083256186037,0.50253467805646,0.319020922432205,0.335581204267143,0.490469338138638
"YlOrBr",0.401501826149087,0.525503786658775,0.350004009124219,0.46293529261076,0.299497799375214
"YlOrRd",0.431236394543536,0.567729000559501,0.342859680342937,0.418784642254834,0.262647159120992
"berlin",0.445776458647792,0.342252696383363,0.460062665362446,0.392901487525451,0.592090551982468
"bwr",0.312302091560816,0.636987683249996,0.29903898904652,0.23316229438585,0.310061910450721
"cividis",0.265295079487495,0.349099995685961,0.402341741834153,0.463923365902377,0.571126919213704
"coolwarm",0.278097740098673,0.550488557564195,0.322983526281756,0.267469171718354,0.41308995543022
"gist_earth",0.296867740523015,0.419738028346369,0.373865540036761,0.450770476801296,0.478449979946886
"inferno",0.418008126846734,0.462433771783363,0.398067441750615,0.411641819184684,0.405780750068918
"magma",0.394954830763047,0.444531455688355,0.400797876967728,0.381541763831822,0.43572481095592
"managua",0.35479147032264,0.43777047971038,0.393175887797444,0.352686561131191,0.496011310804521
"plasma",0.401227649137805,0.565330581511076,0.351631957630505,0.358543661712104,0.318534768541676
"seismic",0.424121390176373,0.579461296445873,0.358318906745006,0.315871359285516,0.339386326825793
"turbo",0.327915117685434,0.614518567239283,0.304845574239609,0.361664221932059,0.306608340288578
"vanimo",0.335296659492805,0.334990871235662,0.421827654877824,0.502586331851082,0.502308941215682
"viridis",0.264304007188227,0.49929363481025,0.340041598112649,0.381631898011566,0.462095506216206
