"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","success","timeout","failed_images","failed_audio","failed_video","question_order","slider_start","practiceTrial","practiceTrialNum","correct","concept","texture_id","ishihara_plate","correct_response"
2017,"Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response",0,2020,"0.0-0.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"","","preload",1,3847,"0.0-1.0","h4ko9ugpm2",20,"true","false","[]","[]","[]","",NA,"",NA,"","","",NA,NA
1703,"","","fullscreen",2,6553,"0.0-2.0","h4ko9ugpm2",20,"true","","","","","",NA,"",NA,"","","",NA,NA
12110,"","{""Consent"":[""<strong>I consent</strong>""]}","survey-multi-select",3,18668,"0.0-3.0","h4ko9ugpm2",20,"","","","","","[0]",NA,"",NA,"","","",NA,NA
2632,"Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response",4,21301,"0.0-4.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
13319,"","{""Age"":""19"",""Gender"":""woman"",""Race/ethnicity"":""white"",""Languages"":""english""}","survey-text",5,34635,"0.0-5.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
26330,"
                        <div>
                            <div style='text-align:left; font-size:18px; line-height:25px; width: 1300px;'>
                                During this experiment you will be asked to rate how much you associate charts with                                different concepts. Below, you can see some examples of the charts you will be asked to rate. Above the charts
                                is the list of concepts. You will be asked
                                to rate how much you associate each chart with each concept on a scale from 'not at all' to 'very much' like the
                                one below. <br>

                        <div style=""text-align: left; width: 1300px;"">
                            <p style=""font-size:18px; line-height:20px; text-align:center; font-weight:bold"">
                                Disgust, Angry, Fearful, Happy, Sad
                            </p>
                        </div>

                        <div style=""display: flex; justify-content: center; width: 100%;"">
                            <div style=""
                                display: grid;
                                grid-template-columns: repeat(5, 1fr);
                                gap: 8px;
                                padding: 10px;
                                width: 900px;  
                                margin: 0 auto;
                            "">
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_disgust_hi_hi_1_tab20b_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_angry_hi_hi_1_tab20_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_fearful_hi_hi_1_tab20b_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_sad_hi_hi_1_tab20_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_happy_lo_lo_1_tab20b_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_disgust_lo_lo_1_tab20c_decend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_fearful_lo_lo_1_Pastel1_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_happy_hi_hi_1_Set1_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_sad_lo_lo_1_Set1_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/21_angry_lo_lo_1_tab20c_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                            </div>
                        </div>
                    </div>
                </div>
                    ","-21","html-slider-response",6,60966,"0.0-6.0","h4ko9ugpm2",20,"","","","","","",0,"true",NA,"","","",NA,NA
4815,"<div style=""width:1300px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each chart for a given concept, so please go with your first intuition. 
                    Before you begin the experiment, there will be four training trials for you to practice using the slider. 
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","html-button-response",7,65782,"0.0-7.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","html-slider-response",8,69680,"0.0-8.0-0.0","h4ko9ugpm2",20,"","","","","","",0,"true",0,"true","","",NA,NA
949,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",9,71132,"0.0-8.0-1.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","html-slider-response",10,73593,"0.0-9.0-0.0","h4ko9ugpm2",20,"","","","","","",0,"true",1,"true","","",NA,NA
2038,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",11,76133,"0.0-9.0-1.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","104","html-slider-response",12,81912,"0.0-10.0-0.0","h4ko9ugpm2",20,"","","","","","",0,"true",2,"true","","",NA,NA
866,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",13,83281,"0.0-10.0-1.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-108","html-slider-response",14,86301,"0.0-11.0-0.0","h4ko9ugpm2",20,"","","","","","",0,"true",3,"true","","",NA,NA
731,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",15,87533,"0.0-11.0-1.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
1131,"<p>Great job! You've completed the practice trials. Now you will begin the main task.</p>","0","html-button-response",16,88665,"0.0-12.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
3068,"<p>In this block of trials, you will be asked to rate how much you associate each texture with the concept</p >
                        <p style = 'font-size:150%; font-weight: bold'>Disgust</p><br></br>","0","html-button-response",17,91733,"0.0-13.0","h4ko9ugpm2",20,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >Disgust</p>
                            <div style=""width:480px; margin: auto;"">
                                <img src=""images/21_disgust_hi_lo_2_tab20_ascend_lgsm_bar.png"" width=""480"" height=""420"" style=""object-fit:contain;"">
                            </div>
                        </div>","13","html-slider-response",18,98192,"0.0-14.0","h4ko9ugpm2",20,"","","","","","",0,"",NA,"","Disgust","images/21_disgust_hi_lo_2_tab20_ascend_lgsm_bar.png",NA,NA
