subject_id,Age,Gender,Race_ethnicity
0rdgw5wke2,18,Female,White
26k6gdrrag,20,female,white 
2yuyke1fd1,20,Female,White
2yxwpv1vo2,20,Female,White
4pmn7rb6wq,18,female,white
5zctnmlufd,18,Female,White
7m5kkwfg5w,19,Female,Hispanic/latino
7mw4tp24xe,19,F,White
7wrhqmrbgb,18,Female,Asian American
8p72wd7l4v,18,Female,White
98r6e5joq7,18,male,white
9u2g84nqtq,19,Male,Indian
9wx35vy14a,19,Woman,Black/Malian America
bpgzchgkcf,20,female,Asian
cdl4qow37h,19,Female,White
cqlwtdoj9m,20,female,white
dwxp9psrh9,18,female,asian
e4y1vvn4uv,18,Female,Black
f96n74r9d3,21,Female,White
fn7k8caaes,19,female,chinese
h4ko9ugpm2,19,woman,white
jpmlqlql33,19,female,white
l2djfsle9j,20,Female,White
lc236gf15d,19,women,white
megxezajdg,20,Female ,White/ Latina
nh3tycqw9j,21,Female,Asian/White
reloj9c0rj,22,female,white
rhanaqz8av,19,f,white
rhjt6k2cro,20,female ,white
rjp8f4zb1p,19,Male,Caucasian 
rr5axjz2mo,18,Woman,White
ss9hd45rg2,19,Female,White
tba6e0sshv,18,Female,White
ugagcq8m6c,18,Female,Black
ukfmehm2ow,20,women,white
xemucdvd5l,18,female,white
y2n5tofbk8,19,female,white
yxdufmhr6b,19,Female,White
z4hrzj4mqz,20,non-binary,Asian
zvq670k70m,19,female,black
