subject_id,concept,image_id,response,SubjNum,Emotion,AssocCond,Version,Palette,ColorOrder,YOrder,plot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_2_Set3_ascend_smlg_dot.png,0.245,39,fearful,med_lo,2,Set3,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_2_tab10new_ascend_smlg_dot.png,0.255,39,fearful,hi_md,2,tab10new,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_1_Pastel1_ascend_lgsm_dot.png,0.1825,39,fearful,med_lo,1,Pastel1,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_3_tab10new_ascend_lgsm_dot.png,0.1925,39,fearful,hi_hi,3,tab10new,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_1_tab20c_ascend_smlg_dot.png,0.1525,39,fearful,med_med,1,tab20c,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_3_tab20c_ascend_smlg_dot.png,0.18,39,fearful,lo_lo,3,tab20c,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_2_tab20_ascend_lgsm_dot.png,0.2425,39,fearful,med_med,2,tab20,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_1_Pastel1_ascend_smlg_dot.png,0.34,39,fearful,lo_lo,1,Pastel1,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_1_Pastel1_decend_lgsm_dot.png,0.23,39,fearful,lo_lo,1,Pastel1,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_2_tab10new_decend_smlg_dot.png,0.255,39,fearful,hi_md,2,tab10new,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_3_tab20_ascend_smlg_dot.png,0.2475,39,fearful,med_lo,3,tab20,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_2_Set3_decend_lgsm_dot.png,0.2325,39,fearful,lo_lo,2,Set3,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_3_Accent_ascend_lgsm_dot.png,0.17,39,fearful,hi_lo,3,Accent,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_2_tab20b_decend_smlg_dot.png,0.0475,39,fearful,hi_lo,2,tab20b,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_1_tab20b_ascend_smlg_dot.png,0.5175,39,fearful,hi_hi,1,tab20b,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_2_tab20_ascend_smlg_dot.png,0.325,39,fearful,med_med,2,tab20,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_3_tab10new_decend_lgsm_dot.png,0.2275,39,fearful,hi_hi,3,tab10new,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_1_Pastel1_decend_lgsm_dot.png,0.225,39,fearful,med_lo,1,Pastel1,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_1_tab20b_ascend_lgsm_dot.png,0.31,39,fearful,hi_md,1,tab20b,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_3_tab20b_decend_smlg_dot.png,0.31,39,fearful,med_med,3,tab20b,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_2_tab20_ascend_smlg_dot.png,0.32,39,fearful,hi_hi,2,tab20,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_2_tab20b_ascend_lgsm_dot.png,0.2325,39,fearful,hi_lo,2,tab20b,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_2_Set3_ascend_smlg_dot.png,0.535,39,fearful,lo_lo,2,Set3,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_3_tab20b_decend_lgsm_dot.png,0.095,39,fearful,med_med,3,tab20b,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_3_tab20_ascend_lgsm_dot.png,0.335,39,fearful,hi_md,3,tab20,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_3_tab20c_ascend_lgsm_dot.png,0.6675,39,fearful,lo_lo,3,tab20c,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_3_tab20_decend_lgsm_dot.png,0.3725,39,fearful,hi_md,3,tab20,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_2_tab20_decend_smlg_dot.png,0.395,39,fearful,med_med,2,tab20,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_2_tab20_decend_lgsm_dot.png,0.71,39,fearful,hi_hi,2,tab20,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_3_tab20b_ascend_smlg_dot.png,0.325,39,fearful,med_med,3,tab20b,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_1_tab20b_decend_smlg_dot.png,0.3175,39,fearful,hi_md,1,tab20b,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_2_Set3_ascend_lgsm_dot.png,0.305,39,fearful,med_lo,2,Set3,ascend,lgsm,dot
